Producto,Fecha 1,Provedor,Precio,,,,
Leche Condensada Nestlé 100g*,23/10/2024,Serrano ,485,,,,
Leche Condensada Nestlé 385g **,24/07/2024,Maxi,1.085,,,,
Leche condensada Pinito 397G,18/09/2024,Dos Pinos,1.120,,,,
Leche Condensada Pinito 90g,17/07/2025,Dos Pinos,441,,,,
Leche de coco Hom-D 400ml,28/08/2021,Gomufa,1.062,,,,
Leche Delactomy DP 2% 946ml,01/05/2025,Dos Pinos,1.205,,,,
Leche Dos Pinos Bienestar 300g,16/10/2024,DosPinos,1.364,,,,
Leche Evaporada DP 410ml,18/03/2025,DosPinos,900,,,,
Leche Evaporada Ideal 360g**,21/02/2025,Max,900,,,,
Leche L 1.8 Dos Pinos,17/07/2025,DosPinos,1.204,,,,
Leche L 670 Bolsa DP,17/07/2025,Dos Pinos*,441,,,,
Leche L LT caja Dos Pinos ,17/07/2025,Dos Pinos,682,,,,
Leche Lula Choc 180ml,15/01/2025,Dos Pinos,371,,,,
Leche Magnesia Rey Sobre,27/11/2024,Serrano,483,,,,
Leche Polvo Nutri 350g,29/01/2025,Dos Pinos,1446,,,,
Leche Polvo Pinito ¹¹⁰g,31/12/2024,DosPinos,1.022,,,,
Leche Semid LT TB 2%,12/06/2025,DosPinos,1.084,,,,
Leche Semidescremada Azul 250ml,26/06/2025,Dos Pinos ,379,,,,
Lenteja La Familia 400g**,05/11/2024,Canasta,616,,,,
Libreta #1,12/10/2022,Cadena,75,,,,
Libreta #2 x 6**,05/06/2025,Vicente,150,,,,
Liga para Cabello,05/06/2025,Vicente,87,,,,
Lima p/ uñas 1x12,22/05/2025,Vicente,29,,,,
Lima para uñas grande Negra,21/05/2025,Serrano,140,,,,
Limpiador 409 Bolsa,21/05/2022,jesán,817,,,,
Limpiador Ajax (IREX) 250G,09/10/2020,Maxi,390,,,,
Limpiador Brasso Bolsa,23/12/2024,Repre,1.305,,,,
Linterna 7 LEDS Rayovac,04/11/2022,Solis,3.300,,,,
Maíz Dulce Roma 240G**,11/4/2025,Llano,432,,,,
Maíz Dulce Toños 185,30/05/2025,RP,452,,,,
Maíz Palomita la Familia*,05/11/2024,Canasta,477,,,,
Maizena 140 G*,12/07/2024,Insoma,1.022,,,,
Maizena 90g *,12/07/2024,Insoma,727,,,,
Maizena Don Perucho 200g,27/12/2024,Serrano ,600,,,,
Maní Cashitas 20g,26/06/2025,Gomufa ,83,,,,
Maní Rumba rapiñado 80G,06/06/2025,Tosty,333,,,,
Maní Rumba Salado 80g**,06/06/2025,Tosty,333,,,,
Manteca Cacao**,08/07/2024,briel,292,,,,
Manteca Clover 230g*,19/12/2023,Canasta,318,,,,
Manteca Clover 460*,08/04/2025,Canasta,631,,,,
Mantequilla La barrita 115 g,14/05/2022,Dos P,803,,,,
Maquinilla De Afeitar Cajita ,18/03/2025,Vicente ,920,,,,
Maquinilla Metal Doble**,02/06/2019,Maxi,110,,,,
Maquinilla p/ Afeitar,06/01/2022,Vicente,630,,,,
Maquinilla Plastica Maped**,17/03/2021,Maxi,150,,,,
Maquinilla Pointer peq c/frasco *,16/10/2024,Vicente,145,,,,
Marcador Arline Perma Negro,26/08/2020,Cadena,403,,,,
Marcador Faber Acrílico Negro -Rojo,20/12/2024,Vicente,260,,,,
Marcador Pointer Negro -Szul,20/12/2024,Vicente,380,,,,
Marcadora Duodeli MX - 5500,29/01/2021,Casoma,1.900,,,,
Marshmello Eye Jam x 80,30/01/2025,Fabiola ,25,,,,
Marshmello zoológico x 30,1/07/2025,Felipe ,83,,,,
Marsmelo chocomanchas,2/07/2025,Fabiola ,103,,,,
Marsmelo Cikobum x48**,18/10/2022,Fabiola,60,,,,
Marsmelo Mallows 75g,03/03/2025,Gomufa,362,,,,
Marsmelo Mallows Figura 50g,13/01/2024,Gomufa ,290,,,,
Marsmelo Mallows Margarita 35g**,03/03/2025,Gomufa*,197,,,,
Marsmelo Mallows pastel,10/09/2024,Gomufa,80,,,,
Marsmelo Mallows Twist Peq x24,12/03/2025,Fabiola ,62⁵,,,,
Marsmelo Mega Colores Gd x 30,19/10/2024,Fabiola ,63,,,,
Marsmelo Mini Willy Tira**,19/03/2025,Serrano,61,,,,
Marsmelo Molina,12/12/2023,Fabiola,100,,,,
Marsmelo Tians Relleno x 50u,01/07/2025,Gomufa,28,,,,
Marsmelo Trululu coco 65g,21/10/2022,Llano,400,,,,
Masa Maseca 500g,16/05/2025,Tosty,909,,,,
Masa Mimasa 750 1%,26/04/2025,Tosty,1.086,,,,
Mascarilla Desechable x 50,26/05/2023,Fabiola,50,,,,
Mascarilla Red Point,01/02/2022,Maxi,100,,,,
"Masking Tape Kenington 1 1/2""",13/04/2020,Cadena,573,,,,
"Masking Tape Kenington 1""",16/07/2025,Serrano ,490,,,,
"Masking Tape Kenington 1/2""",07/05/2025,Serrano ,275,,,,
"Masking Tape Kenington 3/4""",06/12/2023,Vicente,590,,,,
Mayonesa Banquete 100g **,26/06/2025,Serrano ,415,,,,
Mayonesa Banquete 200g*,30/01/2025,Jesán,656,,,,
Mayonesa Hellmann's Limón 400G*,08/12/2023,Insoma ,1.404,,,,
Mayonesa Hellmans Limón 190g¹,21/05/2025,Insoma ,817,,,,
Mayonesa Hellmans Natural 380g¹,06/05/2025,Insoma,1.093,,,,
Mayonesa Lizano 190 ml,18/03/2025,Serrano ,831,,,,
Mayonesa Lizano 380 ML,17/06/2025,Insoma,1000,,,,
Mermelada La Constancia 200g,23/05/2022,Gomufa,600,,,,
Mezcla Rompope,28/12/2020,Canasta,248,,,,
Miel Abejita 150g*,15/01/2025,Manzaté,1.262,,,,
Mortadela Cuadrada 500grm,22/08/2023,Cinta Azul,1.924,,,,
Mortadela kimby 375g,14/07/2025,Cinta A,1.078,,,,
Mortadela kimby Bologña 250g,14/07/2025,Cinta A,717,,,,
Mortadela kimby familiar 500 g,16/04/2025,Cinta Azul,1111,,,,
Mortadela Premier 150g,24/06/2025,Cinta A,520,,,,
Mostaza Hellmann's 100g 13%,1/07/2025,Insoma ,686,,,,
Mostaza Hellmann's 190 gr doy pack,21/02/2025,Insoma,1.047,,,,
Muslito kimby x 4,03/06/2025,Cinta Azul,667,,,,
Muslito Pollo la Granja x4,29/01/2025,Dos Pinos,823,,,,
Naipe Chino Plastico Cajita x 2= 800,20/12/2024,Serrano ,790,,,,
Natilla Casera 250 g *,16/07/2024,Cinta Azul ,460,,,,
Natilla del Prado C/Sal 130G*,24/06/2025,Cinta A,414,,,,
Natilla del Prado C/Sal 300G **,08/07/2025,Cinta A,735,,,,
Natilla la Granja C/Sal 115G BN,17/07/2025,Dos Pinos,379,,,,
Natilla la Granja C/Sal 300G *,17/07/2025,Dos Pinos,848,,,,
Natilla Zarcero C/ Sal Bolsa 300g 1%,17/07/2025,Dos Pinos,775,,,,
Natilla Zarcero Doy Pay 400g,22/05/2025,Dos Pinos ,1118,,,,
Navaja Cutter,04/05/2022,Maxi,340,,,,
Navajilla Astra 1x5,02/05/2025,Solis,285,,,,
Néctar del Valle 200ml,18/07/2025,Femsa,139,,,,
Néctar DP Manzana TB Lt,24/04/20025,Dos Pinos,864,,,,
Nectar DP Melocoton TB LT**,05/07/2023,DosPinos,852,,,,
Néctar DP Mixto Frutas 200ml**,09/07/2025,Dos Pinos,275,,,,
Néctar DP Mixto Frutas TB 1L**,26/06/2025,DosPinos,865,,,,
Néctar DP Pera TB 1 L,26/06/2025,Dos Pinos,865,,,,
Néctar DP Pera TB Lt,23/01/2023,DosPinos,852,,,,
Néctar Pulp Meloc TB 145ml x 24 G,29/04/2022,Big,125,,,,
Neftalina Bolsa 50g,9/01/2024,Vicente,490,,,,
Nuez Moscada Bahía 5unid,30/06/2020,Canasta,701,,,,
Númar Cabitos De Sabor Ajo 180 g,27/07/2021,Max,661,,,,
Numar Classica 1x4 ¹,1/07/2025,Canasta,259,,,,
Númar Taste barra 1x4*,05/11/2024,Canasta,273,,,,
Númar Taste Caj 215g *,10/05/2025,Canasta,730,,,,
Numar Taste Caja 425ml *,05/11/2024,canasta,1.147,,,,
Oferta Mayonesa lizano 380 g +tomate 383,17/03/2025,Insoma,1605,,,,
P Arrollado Deli¹³,08/05/2025,Fabiola,1.130,,,,
P Arrollado Merendina 1x3,26/06/2025,Pozuelo,380,,,,
P Arrollado Nestlé Navideño,23/11/2022,Pozuelo,800,,,,
P Arrollado Tentación ,09/04/2025,Pozuelo,1.615,,,,
P Bizcocho Casero 140,18/04/2023,Gomufa,866,,,,
P Bizcocho Zarcereña 150g*,02/07/2025,Fabiola,820,,,,
P Bizcocho Zarcero 75g Fand,02/07/2025,Fabiola,455,,,,
P Bonette del Trigo,28/06/2023,Santiago,800,,,,
P Borracho Moana,02/07/2025,Fabiola,1.040,,,,
P Cacho Keymar ,06/06/2025,Fabiola ,1.000,,,,
P Casero Lulu,30/01/2025,Fabiola ,960,,,,
P Costilla Dulce Monserrat¹³,18/07/2025,Fabiola,1.000,,,,
P Empanada Albicsa,30/07/2024,Hacienda,700,,,,
P Empanada Keymar Piña,29/05/2025,Fabiola ,1.014,,,,
P Empanada Keymar Queso¹,29/05/2025,Fabiola,1.014,,,,
P Empanada Santiago,12/07/2023,Santi,800,,,,
P Empanada Zarcero Dulce Leche**,01/09/2022,Fabiola,1.125,,,,
P Enlustrado Moana**,19/10/2024,Fabiola,1.010,,,,
P Galleta Keymar Estrella¹,18/01/2025,Fabiola ,961,,,,
P Galleta Keymar Punto,09/02/2024,Fabiol,960,,,,
P Galleta Natilla Moana,02/07/2025,Fabiola,1.040,,,,
P Gato Deli Premium ,28/09/2024,Fabiola,1.100,,,,
P Lengua Marselleza*,06/06/2025,Fabiola,970,,,,
P Palillo Dulce Moana,02/11/2024,Fabiola,1.010,,,,
P Palillo Gasparin,14/09/2023,Fabiola,895,,,,
P Palillo Queso Moana,18/07/2025,Fabiola,1.040,,,,
P Palmerita Monserrat**,18/07/2025,Fabiola,1.030,,,,
P Pan Casero Chery,17/08/2024,Fabiola ,1.050,,,,
P Pastel Naby Piña **,02/07/2025,Fabiola,745,,,,
P Pastel Naly Dulce Leche,13/04/2024,Fabiola ,775,,,,
P Pastel Piña Santiago,12/07/2023,Santi,630,,,,
P Rosca Casera,25/01/2024,Fabiola,940,,,,
P Rosca Coco Monserrat**,22/06/2023,Fabiola,995,,,,
P Rosca queso Moana¹,02/07/2025,Fabiola,1.040,,,,
P Tapón albicsa,30/07/2024,Hacienda,800,,,,
P Tapón Marselleza x9**,06/06/2025,Fabiola,1.125,,,,
Pabilo,23/11/2022,Vicente,380,,,,
Pajilla Metal 2U,18/09/2021,Maxi,300,,,,
Paleta Dino x 40,3/09/2024,Felipe ,40,,,,
Paleta Madera x 50,9/01/2024,Vicente,410,,,,
Paleta Marsmelo Bomboleta,4/01/2025,Fabiola,80,,,,
Paleta Navidad x 30,13/11/2024,Felipe,83,,,,
Palillo Dientes Flor,27/12/2024,Serrano ,113,,,,
Palillo Premier 500,2/08/2024,Vicente ,420,,,,
Palo Piso Eterna con palo*,04/05/2022,Canasta,2.422,,,,
Palomita Popi Jack's Caram 99g,19/02/2025,Jacks,625,,,,
Palomita Popi Jack's Cheddar 85 g,05/07/2025,Jacks,625,,,,
Palomita Popi Jack's Mantequilla 85 g,05/07/2025,Jacks,583,,,,
Palomita Popi Jack's Natural ,07/02/2025,Jacks,583,,,,
Pañal Huggies M x 4,31/07/2024,Alfa,791,,,,
Pañal Huggies pq x 4,29/11/2024,Alfa,791,,,,
Pañal Huggies XXLG 8 u,1/07/2025,Insoma,1.307,,,,
Pañal Teddies XG Jumbo x 50,12/06/2023,Jesán ,160,,,,
Papa 750g,22/03/2025,Cinta Azul,1300,,,,
Papa kryzpo 37g,19/6/2025,Pozuelo ,360,,,,
Papa Pom' Claire 1,16/07/2024,Cinta Azul,1414,,,,
Papel Aluminio 16*,14/03/2025,Represe,622,,,,
Papel Aluminio PAL 25Pies,23/12/2024,Represe,916,,,,
Papel Cartulina Hoja x30,10/04/2024,Casoma ,0,,,,
Papel cartulina lámina,03/07/2024,Rey,225,,,,
Papel Cartulina Satinada Carta,00/12/2023,Casoma,0,,,,
Papel China,00/12/2023,Casoma,240,,,,
Papel Construcción x 36U,00/12/2023,Casoma,0,,,,
Papel Encerado,05/06/2023,Canasta,0,,,,
Papel Periódico,00/12/2023,Casoma,172,,,,
Papel Regalo Ladrillo,30/10/2023,Casoma,195,,,,
Papel Regalo Navideño,15/11/2024,Casoma,150,,,,
Papel Regalo Surtido,1/07/2025,Rey,175,,,,
Parche Bicicleta,10/01/2024,Serrano,500,,,,
Parche León GDE,02/08/2023,Serrano,0,,,,
Parche Salonpas x10,20/08/2024,Gabriel ,1.275,,,,
Pasas Perucho 100g,22/09/2023,Gomufa,298,,,,
Past Acetaminofén x 100,27/05/2025,Serrano ,16,,,,
Past Aleve Gel x24,11/06/2025,Serrano ,256,,,,
Past Aleve x 36,11/06/2025,Serrano,204,,,,
Past Alka A-D x 60,26/06/2025,Serrano,180,,,,
Past Alka Extreme x 50,10/07/2025,Serrano ,190,, ,,
Past Alka Gástrica x36,29/01/2025,Serrano,216,,,,
Past Alka Seltzer Classica x 60u,12/03/2025,Serrano,158,,,,
Past Antifludes Más ²,21/02/2025,Repre,300,,,,
Past Antigripal Gex Día,12/03/2025,Cadena,220,,,,
Past Antigripal Gex Noche,14/05/2025,Serrano,220,,,,
Past Aspirina Avance x 20,23/05/2025,Maxi,125,,,,
Past Aspirina Forte x 20,11/12/2024,Serrano,94,,,,
Past Dolo-neurobion x 5,30/05/2025,Solis,306,,,,
Past Dorival Gel x 36 2%,12/02/2025,Serrano ,262,,,,
Past Ibuprofeno,24/11/2023,Me,0,,,,
Past Nervesa 25mg x10,09/08/2024,Solis,264,,,,
Past Panadol Extra Fuerte x50s,11/12/2024,Gomufa,192,,,,
Past Panadol Gripe Día x16*,15/04/2025,Gomufa ,275,,,,
Past Panadol Gripe Noche x8s,27/09/2024,Solis,280,,,,
Past Panadol Multisintomas 24sobres,10/07/2025,Serrano,302,,,,
Past Panadol Niños x 100 und,02/07/2025,serrano,84,,,,
Past Panadol Senusitis x 12s,14/05/2025,Serrano ,300,,,,
Past Panadol Ultra 52x2,18/06/2025,Serrano,208,,,,
Past Pronol Femenina ,30/05/2025,Solis,325,,,,
Past Pronol x 30,26/06/2025,Serrano ,142,,,,
Past Tabcin Eferv Niño x 60u,27/11/2024,Serrano ,150,,,,
Past Tabcin Efervescente Adult,00/12/2023,Gomufa,159,,,,
Past Tabcin Gel Día caps,11/06/2025,Serrano,425,,,,
Past Tabcin Gel Noche x 30u,11/06/2025,Serrano,425,,,,
Past Tabcin Gel Tos,10/07/2024,Serrano,408,,,,
Past Tabcin Niño Masticable x 48u,26/01/2024,Llano,146,,,,
Past Tiamina & Cafeina Cenco x 60u,22/06/2025,Serrano ,108,,,,
Past Viajesan x50,20/02/2024,Gomufa,133,,,,
Pasta Colgate 22 ml,11/12/2024,Serrano,450,,,,
Pasta Colgate 50ml,16/07/2025,Serrano ,751,,,,
Pasta Colgate Niños 50g,05/06/2024,Serrano ,595,,,,
Pasta Colgate triple 75 ml,18/6/2025,Solis,976,,,,
Pasta D' gussto caracolito 200 g x 12,19/10/2024,Aje,360,,,,
Pasta D'Gussto 200g,14/03/2024,Aje,345,,,,
Pasta Lucema Canelón ,20/09/2024,Llano,637,,,,
Pasta Lucema Caracolito,11/04/2025,Llano ,518,,,,
Pasta Lucema Spaquetty ,11/04/2025,Canasta,490,,,,
Pasta Lucema Tallarín 300g,7/02/2025,Llano,847,,,,
Pasta Lucema Tornillo ,14/06/2024,Llano,518,,,,
Pasta Milano Spaghetti ,19/07/2024,Llano ,347,,,,
Pasta Roma Mini Tornillos,13/09/2024,Llano,588,,,,
Pasta Roma Tomate ,1/07/2025,Max,310,,,,
Pasta Roma Tomate 🍅,24/12/2024,Maxi,236,,,,
Pastelillo Chiky Choco Boing,26/02/2025,Pozuelo,481,,,,
Pastelillo Chiky Flip choco blanco,20/03/2025,Pozuelo,541,,,,
Pastilla Chao Cereza Yerbabuena x 16,08/04/2025,Fabiola ,123,,,,
Pastilla Gallito Menta,2/10/2024,Dos Pinos,132,,,,
Pastilla Gallito Violeta,23/04/20025,Dos Pinos,132,,,,
Pastilla Terror Surtida 50g,09/04/2025,Llano,320,,,,
Patecito Cinta Azul 100g,06/06/2025,Cinta Azul,772,,,,
Peine ancho colores,6/11/2024,Serrano ,180,,,,
Peine con punta colores x12,6/11/2024,Serrano ,137,,,,
Peine Marfil x12,22/05/2025,Vicente,110,,,,
Peine Negro x 12,26/06/2025,Vicente-S,68,,,,
Penetrante WD40,27/05/2021,Vicente,1.829,,,,
Perfiladora de Cejas,05/06/2025,Vicente,510,,,,
Peti Pois Con Zanahoria Toños 240G*,22/03/2025,Repre,503,,,,
Peti Pois Del Toño 240g **,13/12/2024,Repre ,503,,,,
Pila Duracell Alcalina 2A Tira6,09/06/2023,Gomufa,385,,,,
Pila Eveready Carbón 2A ,13/12/2024,Alfa ,160,,,,
Pila Maxell 2A Par,06/11/2024,Serrano ,460,,,,
Pila Maxell 3A 2A Tira,02/07/2025,Serrano ,192,,,,
Pila Maxell 3A Par,13/11/2024,Serrano G,460,,,,
Pila Maxell CR2032 Control carro,19/02/2025,Vicente,610,,,,
Pila Maxell D,22/03/2022,Gomufa,1.336,,,,
Pila Panasonic cuadrada,21/05/2019,Solis,562,,,,
Pin oficina,12/05/2020,Maxi,175,,,,
Pincel Pointer x 6U,12/05/2022,Vicente,910,,,,
Pingüino Raund x 24,21/06/2025,Vicente ,80,,,,
Pinza para Cejas,18/07/2025,Vicente,620,,,,
Piraña Grande x 12,31/03/2023,lipan,84,,,,
Pirinolita x24,8/7/2024,Fabiola ,83,,,,
Plastico Adhesivo Pointer x 20mtr,02/03/2022,Vicente,344,,,,
Plastilina caja 1x12,18/07/2025,Vicente,749,,,,
Plato Desechable festival # 6,11/04/2025,Canasta,429,,,,
Plato desechable festival # 7,1/07/2025,Canasta,485,,,,
Plato desechable festival # 8,06/04/2022,Fabiola,484,,,,
Plato Desechable Festival #9,23/08/2024,Canasta,599,,,,
Plato Hondo Bowln #6,27/03/2023,Canasta ,574,,,,
Pollo Combo 1.375,02/04/2024,Cinta Azul,3.853,,,,
Pollo Muslo**Entero ,17/06/2025,Cinta Azul,1.500,,,,
Pollo Pechuga*,02/07/2025,Cinta Azul,2.223,,,,
Polvo para Hornear Frasco 100g,02/04/2024,Canasta,684,,,,
Popi Barrilete x24,21/06/2025,Fabiola ,40,,,,
Popi Bolygoma,28/04/2025,Fabiola,65,,,,
Popi Bubbaloo 1x20,18/01/2024,Femsa,100,,,,
Popi Colombina Clear,16/07/2025,Gomufa,42,,,,
Popi Colombina Fresa x24,01/07/2025,Serrano ,42,,,,
Popi Colombina Sandía sensación24,18/07/2025,Fabiola ,42,,,,
Popi colombina Sandia x24*Power,07/05/2024,Gomufa,42,,,,
Popi Colombina Yogger x 24,06/01/2024,Gomufa,42,,,,
Popi Cookies Cream,06/09/2023,Gomufa,42,,,,
Popi Dedoleta,01/09/2023,Fabiola,83,,,,
Popi Esqueleto Fluorescente x 24,14/06/2024,Fabiola ,83,,,,
Popi Héroes Tronador x 30,21/11/2024,Gomufa,83,,,,
Popi Manita Resorte,15/05/2024,Felipe ,80,,,,
Popi Manoleta x 24 Calabera,05/05/2021,Fabiola,80,,,,
Popi Supercoco x 24,09/12/2024,Fabiola ,60,,,,
Popi Yumbo Jambreaker,3/12/2024,Fabiola,166,,,,
Prensa Folder Plastica x 50,18/03/2025,Vicente,18,,,,
Prensa Negra caj x144,11/06/2025,Serrano ,6,,,,
Prensa para Ropa Plástica x 24,11/12/2024,Serrano,550,,,,
Prensa Piraña surtida,23/01/2025,Almacén Milenio ,175,,,,
Preservativo Te Amo x3,01/12/2023,Serrano,250,,,,
Prestobarba Dorusa *,10/07/2025,Serrano,94,,,,
Prestobarba Gillette Blue Eco,01/12/2021,British,280,,,,
Prestobarba Guillet Blue,18/07/2025,Femsa,409,,,,
PrestoBarba Guillet Ultra,09/06/2025,Femsa,736,,,,
Protector Kotex Days x15,01/03/2024,Jesán,671,,,,
Protector Labial,5/07/2025,Vicente ,780,,,,
Protector Saba Largo 16u,23/12/2024,Repre,682,,,,
Protector Saba Multiestilos 15u*,01/04/2025,RP,505,,,,
Protector Saba Regular x 16,07/02/2025,RP,651,,,,
Protector Silueta 1x12,05/06/2024,Serrano ,400,,,,
Queso Americano 160 g,23/05/2023,Cinta Az,1.237,,,,
Queso Crema Del Prado 115g,16/10/2024,Cinta Azul,542,,,,
Queso Crema Zarcero B 115g**,12/06/2025,DosPinos,441,,,,
Queso mozzarella Zarcero Rayado 227g,03/04/2025,Dos Pinos,1.680,,,,
Queso Rebanadita la Granja x8,29/05/2025,DP,606,,,,
Queso Tipo Americano 640g x 40*lo,28/02/2023,Cinta A,119,,,,
Raticida Klerat 20g,02/11/2022,Canasta,1.030,,,,
Rayador Repollo,30/03/2022,Vicente,1.800,,,,
Refresco Big Cifrut 1000 ml,16/04/2025,Big Cola,500,,,,
Refresco Big Cifrut 250 ml,18/07/2025,Big Cola,167,,,,
Refresco Big Cifrut 3030ml,20/06/2025,Big Cola,1.167,,,,
Refresco Big Cifrut Frutas 250 ml ,18/07/2025,Big Cola,167,,,,
Refresco Big Cifrut Frutas 3030ml,22/06/2025,Big Cola,1.167,,,,
Refresco Big Cola 1.750 ml,29/05/2025,Big Cola,750,,,,
Refresco Big Cola 1000 ml,18/07/2025,Big Cola,500,,,,
Refresco Big Cola 250 ml,18/07/2025,Big Cola,167,,,,
Refresco Big Cola 3030 ml,08/07/2025,Big Cola,1.250,,,,
Refresco Big Cola 625 ml,02/07/2025,Big Cola,334,,,,
Refresco Big Ginger 1000ml,04/07/2025,Big Cola,500,,,,
Refresco Big Ginger 250 ml,27/05/2025,Big Cola,167,,,,
Refresco Big Ginger 3030 ml,08/07/2025,Big Cola,1.250,,,,
Refresco Big Naranja 250 ml,09/05/2025,Big Cola,167,,,,
Refresco Big Naranja 3030 ml,08/07/2025,Big Cola,1.250,,,,
Refresco Big Roja 1000 ml,24/09/2024,Big Cola,500,,,,
Refresco Big Roja 1550,27/01/2022,Big Cola,666,,,,
Refresco Big Roja 250 ml,04/07/2025,Big Cola,167,,,,
Refresco Big Roja 3030 ml,06/05/2025,Big Cola,1.250,,,,
Refresco Big Toronja 250 ml,20/06/2025,Big Cola,167,,,,
Refresco Big Toronja 3030 ml,20/06/2025,Big Cola,1.250,,,,
Refresco Big uva 250ml,04/07/2025,Big Cola,167,,,,
Refresco Bolsa Frutas x24,10/01/2024,Felipe,80,,,,
Refresco Coca Cola 1Lt Ret,04/07/2025,Femsa,583,,,,
Refresco Coca Cola 2.5 Ret,10/07/2025,Femsa,1.083,,,,
Refresco Coca Cola 250ml,26/06/2025,Femsa,250,,,,
Refresco Coca Cola Cero 1.5 desechab,16/04/2024,Femsa,750,,,,
Refresco Coca Cola Cero 2.5 Ret,7/07/2025,Femsa,1.083,,,,
Refresco Coca Cola Cero 250ml,18/07/2025,Femsa ,250,,,,
Refresco Coca Cola Cero 6.5 onz Pitufa,18/10/2023,Femsa,167,,,,
Refresco Del Valle Fresh 250ml,26/06/2025,Femsa,208,,,,
Refresco Del Valle Fresh 3 Lt  ,04/10/2024,Femsa,1.166,,,,
Refresco Fanta Kolita 2.5 Lt,09/06/2025,Femsa,1.083,,,,
Refresco Fanta Naranja 2.⁵L,10/07/2025,Femsa,1.083,,,,
Refresco Fanta Uva 2.5,18/07/2025,Femsa,1.083,,,,
Refresco Fresca 2⁵ Ltr,18/07/2025,Femsa,1.083,,,,
Refresco Fruton Té ,13/09/2024,Insoma ,113,,,,
Refresco Fuze Melocotón 250ml,04/07/2025,Femsa,208,,,,
Refresco Ginger Ale 1⁵lt,18/07/2024,Femsa,1.086,,,,
Refresco Ginger Ale 2.5,18/07/2025,Femsa,1.083,,,,
Refresco Ginger Ale 250 ml,07/07/2025,Femsa,250,,,,
Refresco Ginger Ale 355 ml Naranja ,22/05/2025,Femsa,333,,,,
Refresco HI-C 330 ml,10/07/2025,Femsa,458,,,,
Refresco Jet 350 ml **,04/07/2025,Canasta,580,,,,
Refresco Jet 600 **,24/05/2025,Canasta,893,,,,
Refresco Más Citru Disf 3L,24/04/20025,Dos Pinos ,1047,,,,
Refresco Más Té DP Blanco 3L**,09/07/2025,Dos Pinos,833,,,,
Refresco Más Té DP Meloc 3L**,17/07/2025,Dos Pinos,833,,,,
Refresco Maximalta 350ml,19/03/2025,Serrano ,676,,,,
Refresco Power 400 ml ,09/06/2025,Femsa,500,,,,
Refresco Power 600 ml,04/07/2025,Femsa,833,,,,
Refresco Sprite 250,04/07/2025,Femsa,250,,,,
Refresco Té Dos Pinos Bot 2.5,03/07/2025,Dos Pinos ,1.050,,,,
Refresco Tropical Frut 2.5¹³,23/12/2024,Canasta,1.322,,,,
Refresco Volt 360 Gris,04/07/2025,Aje,280,,,,
Refresco Volt 360 ml Fantasia x12,17/04/2025,Aje,400,,,,
Refresco Zuko Durazno,13/04/2023,Pozuelo,165,,,,
Refresco Zuko Guanabana,10/07/2025,Max,130,,,,
Refresco Zuko Horchata 25g,26/06/2025,Pozuelo,165,,,,
Refresco Zuko Mango,10/07/2025,Max,130,,,,
Refresco Zuko Melón,31/12/2025,Pozuelo,165,,,,
Refresco Zuko Mora 25g,11/12/2024,Pozuelo,165,,,,
Refresco Zuko Pera 25g,05/02/2025,Pozuelo,165,,,,
Refresco Zuko Tamarindo,15/04/2025,Pozuelo ,165,,,,
Regla Plástica 20cm,26/10/2022,Vicente,160,,,,
Repuesto P/ Chupón,05/02/2025,Serrano ,75,,,,
Repuesto P/ Chupón Grand,10/03/2021,Vicente,290,,,,
Rollo Bolsa 2k Despendible 7x10,14/11/2024,Avispón ,3.480,,,,
Rollo Marcadora Classica x 10,29/01/2023,Casom,125,,,,
Sal Saru . El Ada ¢²⁵⁰,24/05/2025,Canasta ,260,,,,
Sal Sol¹,1/07/2025,Canasta,475,,,,
Sal Solar¹,13/01/2024,Canasta,298,,,,
Salchicha 🌭 Impermeable 20u x K,29/04/2025,Cinta Azul,1328.,,,,
Salchicha Premier 380gx 10u *,08/07/2025,CintaAzul,1.353,,,,
Salchichón Premier Criollo 4k *,06/06/2025,CintaAzul,1.318,,,,
Salsa Banquete Barbacoa 400G,07/12/2024,Jesán ,1.240,,,,
Salsa Banquete Soya 148ml,1/07/2025,Max,620,,,,
Salsa Banquete Tomate 100ml,14/05/2025,Jesán,362,,,,
Salsa Banquete Tomate 200 ml,07/02/2025,Jesán,506,,,,
Salsa BanqueteTomate 700 ml*,01/04/2025,Maxi,1.620,,,,
Salsa Barbacoa La Constancia 400g**,28/05/2024,Gomufa,840,,,,
Salsa Lizano Botella 130ml¹,21/05/2025,Insoma,707,,,,
Salsa Lizano Botella 280ml¹,14/07/2025,insoma,1.311,,,,
Salsa Lizano Rosada 190G*,30/05/2025,Insoma ,1.086,,,,
Salsa Lizano Tabasco 64g**,21/02/2025,Insoma,704,,,,
Salsa Lizano Tomate 380 ML,17/06/2025,Insoma,750,,,,
Salsa Naturas Panameña 100 g,29/11/2024,Insoma,267,,,,
Salsa Naturas Surt 4 Pack 90g,21/05/2025,Insoma,257,,,,
Salsa Queso del Prado 170g,24/06/2025,Cinta Azul,1.153,,,,
Salsa Roma Carne 106*,24/12/2024,Max,230,,,,
Salsa Roma Hongos 106g *,17/01/2024,Llano,321,,,,
Salsa Roma Italiana 106g,22/03/2025,Llano,206,,,,
Salsa Roma Ranchera 106g*,02/08/2024,El Llano,273,,,,
Salsa Roma sofrito 106g*,14/02/2025,Llano,206,,,,
Salsa Soya constancia,05/12/2022,Gomufa,642,,,,
